delay,,condition,key_resp.rt,,expected,,unexpected
0.1,,exp,1.8480371,0.1,0.717045662,0.1,0.598170908
0.1,,exp,0.7642538,0.4,0.709936115,0.4,0.732258875
0.1,,exp,1.4085794,0.7,2.168870442,0.7,0.719327987
0.1,,exp,0.4163011,,,,
0.1,,exp,1.4856,total,3.595852219,total,2.04975777
0.1,,exp,0.3393463,,,,
0.1,,exp,0.57092,,difference,1.546094449,
0.1,,exp,0.5473937,,,,
0.1,,exp,0.7204147,,,,
0.1,,exp,0.2512966,,,,
0.1,,exp,0.3061736,,,,
0.1,,exp,0.4182718,,,,
0.1,,exp,0.3549392,,,,
0.1,,exp,0.3474797,,,,
0.1,,exp,2.4747971,,,,
0.1,,exp,0.5365341,,,,
0.1,,exp,0.9746326,,,,
0.1,,exp,0.9489286,,,,
0.1,,exp,1.0533525,,,,
0.1,,exp,0.7342797,,,,
0.1,,exp,1.1649187,,,,
0.1,,exp,1.801771,,,,
0.1,,exp,1.0375802,,,,
0.1,,exp,0.5527749,,,,
0.1,,exp,0.4751328,,,,
0.1,,exp,0.4681577,,,,
0.1,,exp,0.2406546,,,,
0.1,,exp,1.0036461,,,,
0.1,,exp,0.6475172,,,,
0.1,,exp,0.5776142,,,,
0.1,,exp,0.2990482,,,,
0.1,,exp,0.7828,,,,
0.1,,exp,1.32042,,,,
0.1,,exp,0.5931768,,,,
0.1,,exp,0.2122009,,,,
0.1,,exp,0.6344713,,,,
0.1,,exp,0.9123761,,,,
0.1,,exp,1.3390541,,,,
0.1,,exp,2.8393081,,,,
0.1,,exp,1.115678,,,,
0.1,,exp,0.3940609,,,,
0.1,,exp,0.3693965,,,,
0.1,,exp,0.3062385,,,,
0.1,,exp,0.3351684,,,,
0.1,,exp,0.2657728,,,,
0.1,,exp,0.2931255,,,,
0.1,,exp,0.2965376,,,,
0.1,,exp,0.2528398,,,,
0.1,,exp,0.285388,,,,
0.1,,exp,0.3876272,,,,
0.1,,exp,0.844533,,,,
0.1,,exp,1.1180866,,,,
0.1,,exp,1.1898935,,,,
0.1,,exp,0.3635239,,,,
0.1,,exp,0.2667075,,,,
0.1,,exp,0.3721052,,,,
0.1,,exp,0.5586166,,,,
0.1,,exp,0.6790852,,,,
0.1,,exp,0.329814,,,,
0.1,,exp,0.9359573,,,,
0.1,,exp,0.3119619,,,,
0.1,,exp,0.4494202,,,,
0.1,,exp,0.2599044,,,,
0.1,,exp,0.6032405,,,,
0.1,,exp,0.8431719,,,,
0.1,,exp,0.3836548,,,,
0.1,,exp,0.3830836,,,,
0.1,,exp,0.3236401,,,,
0.1,,exp,0.6851015,,,,
0.1,,exp,0.3256923,,,,
0.1,,exp,0.542653,,,,
0.1,,exp,0.2242025,,,,
0.1,,exp,0.0319977,,,,
0.1,,exp,0.2020943,,,,
0.1,,exp,0.3184563,,,,
0.1,,exp,0.3402904,,,,
0.1,,exp,0.4107141,,,,
0.1,,exp,0.0073404,,,,
0.1,,exp,0.8784337,,,,
0.1,,exp,0.3227819,,,,
0.1,,exp,0.3447788,,,,
0.1,,exp,0.2721633,,,,
0.1,,exp,1.6774098,,,,
0.1,,exp,4.587615,,,,
0.1,,exp,0.3292018,,,,
0.1,,exp,0.3846797,,,,
0.1,,exp,0.3062385,,,,
0.1,,exp,0.3351684,,,,
0.1,,exp,0.2657728,,,,
0.1,,exp,0.7642538,,,,
0.1,,exp,1.4085794,,,,
0.1,,exp,0.4163011,,,,
0.1,,exp,1.4856,,,,
0.1,,exp,1.2873131,,,,
0.1,,exp,1.4365076,,,,
0.1,,exp,0.5039467,,,,
0.1,,exp,0.3292018,,,,
0.1,,exp,0.7642538,,,,
0.1,,exp,1.4085794,,,,
0.1,,exp,0.4163011,,,,
0.1,,exp,1.4856,,,,
0.4,,exp,1.1910532,,,,
0.4,,exp,3.5667861,,,,
0.4,,exp,0.4524299,,,,
0.4,,exp,0.3675279,,,,
0.4,,exp,0.2912418,,,,
0.4,,exp,0.3023586,,,,
0.4,,exp,0.6851875,,,,
0.4,,exp,0.2666611,,,,
0.4,,exp,0.8680273,,,,
0.4,,exp,0.3288945,,,,
0.4,,exp,0.4167851,,,,
0.4,,exp,0.319207,,,,
0.4,,exp,1.0192044,,,,
0.4,,exp,0.2893934,,,,
0.4,,exp,0.9623016,,,,
0.4,,exp,0.3704795,,,,
0.4,,exp,1.347431,,,,
0.4,,exp,0.300436,,,,
0.4,,exp,0.4224854,,,,
0.4,,exp,0.5947614,,,,
0.4,,exp,0.5867348,,,,
0.4,,exp,0.4431261,,,,
0.4,,exp,0.4178548,,,,
0.4,,exp,0.6394061,,,,
0.4,,exp,0.6266495,,,,
0.4,,exp,0.4232205,,,,
0.4,,exp,0.4310136,,,,
0.4,,exp,1.012928,,,,
0.4,,exp,2.2289434,,,,
0.4,,exp,0.5954946,,,,
0.4,,exp,1.0743253,,,,
0.4,,exp,0.2712176,,,,
0.4,,exp,0.2018597,,,,
0.4,,exp,0.5703038,,,,
0.4,,exp,0.3087339,,,,
0.4,,exp,0.5400823,,,,
0.4,,exp,0.4690556,,,,
0.4,,exp,0.484399,,,,
0.4,,exp,0.7990601,,,,
0.4,,exp,0.722946,,,,
0.4,,exp,0.4113771,,,,
0.4,,exp,0.776744,,,,
0.4,,exp,0.5537379,,,,
0.4,,exp,0.4670811,,,,
0.4,,exp,0.3065353,,,,
0.4,,exp,0.7899058,,,,
0.4,,exp,0.2969752,,,,
0.4,,exp,0.3073731,,,,
0.4,,exp,0.5213593,,,,
0.4,,exp,0.2660849,,,,
0.4,,exp,1.4051518,,,,
0.4,,exp,0.3978109,,,,
0.4,,exp,2.7231017,,,,
0.4,,exp,0.3625617,,,,
0.4,,exp,0.3051024,,,,
0.4,,exp,0.5330897,,,,
0.4,,exp,0.3612054,,,,
0.4,,exp,0.3081005,,,,
